Selections giving rise to mutants of <em>E. coli</em> and <em>S. typhimurium</em>
Type;Selection purpose and technique;Mutant gene
Resistance to biological and organic chemicals;Dideoxy(2′,3′)thymidine resistance;tmk
Resistance to biological and organic chemicals;Dihydroproline resistance;putP
Resistance to biological and organic chemicals;Dihydroxybutylphosphonate resistance;cls
Resistance to biological and organic chemicals;Dihydroxybutylphosphonate resistance;glpT
Resistance to biological and organic chemicals;Dihydroxybutylphosphonate resistance in <em>glpT</em>;ugpA,B
Resistance to biological and organic chemicals;Dihydroxybutylphosphonate resistance in <em>uhp</em>(Con);uhpT
Resistance to biological and organic chemicals;Dimethyl sulfoxide resistance;pss
Resistance to biological and organic chemicals;Dinitropyrene resistance;atoB
Resistance to biological and organic chemicals;Dipeptide (valine containing) resistance;dppA
Resistance to biological and organic chemicals;Drug-resistant gene maintenance;dor
Resistance to biological and organic chemicals;Erythromycin growth dependence;rrn
Resistance to biological and organic chemicals;Erythromycin resistance;eryC
Resistance to biological and organic chemicals;Erythromycin resistance;eryD
Resistance to biological and organic chemicals;Erythromycin resistance;mac
Resistance to biological and organic chemicals;Erythromycin resistance;rplD
Resistance to biological and organic chemicals;Erythromycin resistance;rplV
Resistance to biological and organic chemicals;Erythromycin resistance;rplC
Resistance to biological and organic chemicals;Ethanol resistance;pss
Resistance to biological and organic chemicals;Ethionine resistance;metG
Resistance to biological and organic chemicals;Ethionine resistance;metJ
Resistance to biological and organic chemicals;Fluoroacetate resistance;ack
Resistance to biological and organic chemicals;Fluoroacetate resistance;pta
Resistance to biological and organic chemicals;Fluorocitrate resistance;tct
Resistance to biological and organic chemicals;Fluoro(5)cytosine resistance;codA
Resistance to biological and organic chemicals;Fluoro(5)cytosine resistance;cod
Resistance to biological and organic chemicals;Fluorodeoxycytidine resistance;cdd
Resistance to biological and organic chemicals;Fluorodeoxycytidine resistance;nupC
Resistance to biological and organic chemicals;Fluorodeoxycytidine resistance;nupG
Resistance to biological and organic chemicals;Fluoro(5)deoxyuridine resistance;tdk
Resistance to biological and organic chemicals;Fluorodeoxyuridine resistance;nupC
Resistance to biological and organic chemicals;Fluorodeoxyuridine resistance;nupG
Resistance to biological and organic chemicals;Fluorodeoxyuridine + uracil resistance in <em>deoA</em>;tdk
Resistance to biological and organic chemicals;Fluoro(2)-L-erythrocitrate resistance;tct
Resistance to biological and organic chemicals;Fluoro-3-hydroxyacetone resistance in <em>uhp</em>(Con);uhpT
Resistance to biological and organic chemicals;Fluorohydroxyacetone phosphate resistance;ugpAB
Resistance to biological and organic chemicals;Fluorohydroxyacetone phosphate resistance;glpT
Resistance to biological and organic chemicals;Fluoro(3)malate resistance;dct
Resistance to biological and organic chemicals;Fluoro(5)orotic acid resistance;pyrF
Resistance to biological and organic chemicals;Fluoro(5)orotic acid resistance;pyrH
Resistance to biological and organic chemicals;Fluoro(4)phenylalanine resistance;tyrR
Resistance to biological and organic chemicals;Fluoro(4)phenylalanine resistance;pheA
Resistance to biological and organic chemicals;Fluoro(4)phenylalanine resistance;pheR
Resistance to biological and organic chemicals;Fluoro(4)phenylalanine resistance;pheS
Resistance to biological and organic chemicals;Fluoro(4)phenylalanine resistance;pheU
Resistance to biological and organic chemicals;Fluorophenylalanine resistance;aroF
Resistance to biological and organic chemicals;Fluorophenylalanine resistance;aroG
Resistance to biological and organic chemicals;Fluorophenylalanine resistance;aroP
Resistance to biological and organic chemicals;Fluorophenylalanine resistance;tyrA
Resistance to biological and organic chemicals;Fluoro(5)tryptophan resistance;aroP
Resistance to biological and organic chemicals;Fluoro(6)tryptophan resistance;trp (generic)
Resistance to biological and organic chemicals;Fluorotyrosine resistance;tyrR
Resistance to biological and organic chemicals;Fluorotyrosine resistance;tyrS
Resistance to biological and organic chemicals;Fluoro(5)uracil + fluoro(5)uridine resistance;guaB
Resistance to biological and organic chemicals;Fluoro(5)uracil + 5′-AMP resistance in <em>upp</em>;ushA
Resistance to biological and organic chemicals;Fluoro(5)uracil + 5-fluorouridine resistance in <em>udp</em>;pyrH
Resistance to biological and organic chemicals;Fluoro(5)uracil + nucleotide resistance;ompF
Resistance to biological and organic chemicals;Fluoro(5)uracil + nucleotide resistance;ompR
Resistance to biological and organic chemicals;Fluoro(5)uracil + adenosine resistance;udp
Resistance to biological and organic chemicals;Fluorouracil + adenosine resistance in <em>upp deoD xapR</em>(Con);xapA
Resistance to biological and organic chemicals;Fluoro(5)uracil + adenosine resistance in <em>upp, phoS,</em> or <em>phoT</em>;phoA
Resistance to biological and organic chemicals;Fluoro(5)uracil + adenosine resistance in <em>upp, phoS,</em> or <em>phoT</em>;phoB
Resistance to biological and organic chemicals;Fluoro(5)uracil and 3′-AMP resistance;cpdB
Resistance to biological and organic chemicals;Fluoro(5)uracil + 5′-AMP + 3′-AMP resistance;crp
Resistance to biological and organic chemicals;Fluoro(5)uracil + carbamylaspartate resistance;ubiF
Resistance to biological and organic chemicals;Fluoro(5)uracil resistance;upp
Resistance to biological and organic chemicals;Fluorouracil resistance;nupC
Resistance to biological and organic chemicals;Fluorouracil resistance;nupG
Resistance to biological and organic chemicals;Fluorouracil resistance;pyrH
Resistance to biological and organic chemicals;Fluorouracil resistance;rpoB
Resistance to biological and organic chemicals;Fluoro(5)uridine + uracil resistance;udk
Resistance to biological and organic chemicals;Fluoro(5)uridine resistance;udhA
Resistance to biological and organic chemicals;Fluoro(5)uridine resistance in <em>upp</em>;udk
Resistance to biological and organic chemicals;Fluorouridine resistance;pyrH
Resistance to biological and organic chemicals;Fluorouridine resistance;nupC
Resistance to biological and organic chemicals;Fluorouridine resistance;nupG
Resistance to biological and organic chemicals;Fosfomycin resistance due to increased gene dosage;murZ
Resistance to biological and organic chemicals;Fosfomycin + fructose-6-phosphate resistance;pgi
Resistance to biological and organic chemicals;Fosfomycin resistance;crp
Resistance to biological and organic chemicals;Fosfomycin resistance;cyaA
Resistance to biological and organic chemicals;Fosfomycin resistance;glpT
Resistance to biological and organic chemicals;Fosfomycin resistance;hipA
Resistance to biological and organic chemicals;Fosfomycin resistance;mrb
Resistance to biological and organic chemicals;Fosfomycin resistance;ptsI
Resistance to biological and organic chemicals;Fosfomycin resistance;uhpT
Resistance to biological and organic chemicals;Fucitol resistance in galactitol-utilizing strains;gatACD
Resistance to biological and organic chemicals;Fucose + arabinose-supported growth in <em>galP</em>;mglA
Resistance to biological and organic chemicals;Fucose + arabinose-supported growth in <em>galP</em>;mglB
Resistance to biological and organic chemicals;Fucose + arabinose-supported growth in <em>galP</em>;mglC
Resistance to biological and organic chemicals;Fucose resistance (arabinose as C source);araC
Resistance to biological and organic chemicals;Fusaric acid resistance of Tn<em>10</em> insertion mutants;tet
Resistance to biological and organic chemicals;Fusidic acid resistance;fusA
Resistance to biological and organic chemicals;Galactose resistance in <em>galE</em>;galK
Resistance to biological and organic chemicals;Galactose resistance in <em>galT</em>;galK
Resistance to biological and organic chemicals;Galactose resistance in <em>galU</em>;gal operon
Resistance to biological and organic chemicals;Galactose resistance in <em>galU</em>;galK
Resistance to biological and organic chemicals;Galactose resistance in <em>galT+K</em>+<em>E</em>+/<em>galU</em> <em>galT+K</em>+<em>E</em>+ merodiploid;galR
Resistance to biological and organic chemicals;Galactose utilization in presence of thiomethylglucoside;gal operon
Resistance to biological and organic chemicals;Gentamicin resistance;rplF
Resistance to biological and organic chemicals;Gentamicin resistance;ubiF
Resistance to biological and organic chemicals;Globomicin resistance;dnaE
Resistance to biological and organic chemicals;Globomicin resistance;lpp
Resistance to biological and organic chemicals;Glucarate (D) resistance in <em>ppc</em>;garA
Resistance to biological and organic chemicals;Glucose + gluconate-independent motility;pts (general)
Resistance to biological and organic chemicals;Glucose-resistant satisfaction of <em>trp</em> by indole + 5-methyltryptophan;tna
Resistance to biological and organic chemicals;Glutamate (D) resistance in <em>gltS</em> (increased);gltS
Resistance to biological and organic chemicals;Glutamine (D) resistance;glnP
Resistance to biological and organic chemicals;Glutamyl(γ)hydrazide resistance;glnF
Resistance to biological and organic chemicals;Glutamyl(γ)hydrazide resistance;glnH
Resistance to biological and organic chemicals;Glutamyl(γ)hydrazide resistance;glnP
Resistance to biological and organic chemicals;Glutamyl(γ)methyl ester resistance;gltX
Resistance to biological and organic chemicals;Glutamyl(γ)methyl ester resistance;metJ
Resistance to biological and organic chemicals;Glutamyl(γ)methyl ester resistance;metK
Resistance to biological and organic chemicals;Glyceraldehyde (DL) 3-phosphate resistance;glpT
Resistance to biological and organic chemicals;Glyceraldehyde (L) 3-phosphate resistance in <em>uhp</em>(Con);uhpT
Resistance to biological and organic chemicals;Glyceraldehyde (L) resistance;glpF
Resistance to biological and organic chemicals;Glyceraldehyde (L) resistance;glpK
Resistance to biological and organic chemicals;Glycerol 3-phosphorothioate resistance;glpT
Resistance to biological and organic chemicals;Glycine tolerance;qmeACDE
Resistance to biological and organic chemicals;Glycylglycyl-<em>N</em>-phosphonoacetylornithine resistance;argR
Resistance to biological and organic chemicals;Glycylleucine resistance;ilvA
Resistance to biological and organic chemicals;Glycylleucine resistance;ilvB
Resistance to biological and organic chemicals;Glycylleucine resistance;ilvH
Resistance to biological and organic chemicals;Glycylleucine resistance;ilvI
Resistance to biological and organic chemicals;Glycylleucine resistance;oppA
Resistance to biological and organic chemicals;Glycylleucine resistance in <em>ilv</em>;gleR
Resistance to biological and organic chemicals;Glycylglycyl histidinol phosphate ester resistance;oppA
Resistance to biological and organic chemicals;Glycylglycyl-<em>N</em>-phosphonoacetylornithine resistance;oppA
Resistance to biological and organic chemicals;Glyphosate resistance;aroA
Resistance to biological and organic chemicals;Hexuronate resistance in <em>eda</em>;uxaBC
Resistance to biological and organic chemicals;Hexuronate resistance in <em>eda</em>;uxuAB
Resistance to biological and organic chemicals;Homocysteic acid resistance;gltS
Resistance to biological and organic chemicals;Hydrazino (α) imidazole propionic acid resistance;argT
Resistance to biological and organic chemicals;Hydrazino (α) imidazole propionic acid resistance;hisG
Resistance to biological and organic chemicals;Hydrazino (α) imidazole propionic acid resistance;hisJ
Resistance to biological and organic chemicals;Hydrazino (α) imidazole propionic acid resistance;hisQ
Resistance to biological and organic chemicals;Hydrazino (α) imidazole propionic acid resistance in <em>dhuA</em>;hisP
Resistance to biological and organic chemicals;Hydroxy (β) norvaline resistance;metL
Resistance to biological and organic chemicals;Hydroxyaspartate resistance;pan
Resistance to biological and organic chemicals;Hydroxybutylphosphonate resistance in <em>uhp</em>(Con);uhpT
Resistance to biological and organic chemicals;Hydroxyurea resistance;nrdA
Resistance to biological and organic chemicals;Hydroxyurea resistance;nrdB
Resistance to biological and organic chemicals;Indole acrylic acid resistance;aroT
Resistance to biological and organic chemicals;Indolmycin resistance;trpS
Resistance to biological and organic chemicals;Indospicine resistance;argR
Resistance to biological and organic chemicals;Iodoacetylglucosamine resistance;nagA
Resistance to biological and organic chemicals;Iodoacetylglucosamine resistance;nagB
Resistance to biological and organic chemicals;Iodoacetylglucosamine resistance;nagE
Resistance to biological and organic chemicals;Isoniazid resistance;pdx
Resistance to biological and organic chemicals;Kanamycin resistance;atpA–atpE
Resistance to biological and organic chemicals;Kanamycin resistance;cpxA
Resistance to biological and organic chemicals;Kanamycin resistance;ecfB
Resistance to biological and organic chemicals;Kanamycin resistance;hemA
Resistance to biological and organic chemicals;Kanamycin resistance;hemB
Resistance to biological and organic chemicals;Kanamycin resistance;hemL
Resistance to biological and organic chemicals;Kanamycin resistance;topA
Resistance to biological and organic chemicals;Kasugamycin resistance;ksgA
Resistance to biological and organic chemicals;Kasugamycin resistance;ksgB
Resistance to biological and organic chemicals;Kasugamycin resistance;ksgC
Resistance to biological and organic chemicals;Kasugamycin resistance;ksgD
Resistance to biological and organic chemicals;Kasugamycin resistance;rplK
Resistance to biological and organic chemicals;Kasugamycin resistance;rplB
Resistance to biological and organic chemicals;Kasugamycin resistance;rpsN
Resistance to biological and organic chemicals;Kasugamycin resistance;rpsM
Resistance to biological and organic chemicals;Kasugamycin resistance;rpsR
Resistance to biological and organic chemicals;Kasugamycin resistance and dependence;rpsI
Resistance to biological and organic chemicals;Keto(2)butyrate resistance;ilvA
Resistance to biological and organic chemicals;Kirromycin resistance;tufAB
Resistance to biological and organic chemicals;Lambda <em>c</em>II phage + rifampin coresistance;rpoB
Resistance to biological and organic chemicals;Lambda phage + nalidixic acid resistance;crp
Resistance to biological and organic chemicals;Lambda phage + nalidixic acid resistance;cyaA
Resistance to biological and organic chemicals;Levallorphan resistance;lev
Resistance to biological and organic chemicals;Lincomycin resistance;linB
Resistance to biological and organic chemicals;Lincomycin resistance;rplN
Resistance to biological and organic chemicals;Lincomycin resistance;rplO
Resistance to biological and organic chemicals;Lincomycin resistance;rpsG
Resistance to biological and organic chemicals;Lithium-resistant use of proline as C source;putP
Resistance to biological and organic chemicals;Lysine hydroxamate resistance;lysC
Resistance to biological and organic chemicals;Mecillinam resistance (see beta-lactam resistance);alaS
Resistance to biological and organic chemicals;Mecillinam resistance;argS
Resistance to biological and organic chemicals;Mecillinam resistance;crp
Resistance to biological and organic chemicals;Mecillinam resistance;cyaA
Resistance to biological and organic chemicals;Mecillinam resistance;envB
Resistance to biological and organic chemicals;Mecillinam resistance;mrdA
Resistance to biological and organic chemicals;Mecillinam resistance;mrdB
Resistance to biological and organic chemicals;Mecillinam resistance;mreB
Resistance to biological and organic chemicals;Mecillinam resistance;mreC
Resistance to biological and organic chemicals;Mecillinam resistance;mreD
Resistance to biological and organic chemicals;Menadionine resistance;marA
Resistance to biological and organic chemicals;Mercaptopurine resistance in <em>gpt</em>;hpt
Resistance to biological and organic chemicals;Methionine sulfoximine + methyl(α)methionine resistance;metJ
Resistance to biological and organic chemicals;Methionine sulfoximine resistance;asm
Resistance to biological and organic chemicals;Methionine sulfoximine resistance;glnP
Resistance to biological and organic chemicals;Methionine sulfoximine resistance;metP
Resistance to biological and organic chemicals;Methionine sulfoximine resistance in <em>glnG</em>;glnA
Resistance to biological and organic chemicals;Methylammonium resistance;glnA
Resistance to biological and organic chemicals;Methyl(3)anthranilate resistance;trpE
Resistance to biological and organic chemicals;Methyl(3)anthranilate resistance;aroG
Resistance to biological and organic chemicals;Methyl(α)glutamate resistance in <em>gltS</em> (increased);gltS
Resistance to biological and organic chemicals;Methylglucoside(α)-resistant utilization of lactose;lacIO
Resistance to biological and organic chemicals;Methylglucoside(α)-resistant utilization of maltose;malE
Resistance to biological and organic chemicals;Methylglucoside(α)-resistant utilization of maltose;malF
Resistance to biological and organic chemicals;Methylglucoside(α)-resistant utilization of maltose;malG
Resistance to biological and organic chemicals;Methylglucoside(α)-resistant utilization of maltose;malK
Resistance to biological and organic chemicals;Methylglucoside(α)-resistant utilization of mannitol + lactose;ptsG
Resistance to biological and organic chemicals;Methylglucoside(α) resistance;ptsG
Resistance to biological and organic chemicals;Methylglucoside(α)-resistant utilization of glycerol in ∆<em>ptsHI</em>;crr
Resistance to biological and organic chemicals;Methylglucoside(α)-resistant utilization of lactose in <em>ptsH</em>;lacI, operator
Resistance to biological and organic chemicals;Methylglucoside(α)-resistant utilization of melibiose;mel
Resistance to biological and organic chemicals;Methylglyoxal resistance;gsh
Resistance to biological and organic chemicals;Methyl(2)histidine resistance + aminotriazole resistance;hisR
Resistance to biological and organic chemicals;Methyl methanesulfonate resistance in <em>lon</em>;sulA
Resistance to biological and organic chemicals;Methyl methanesulfonate resistance in <em>lon</em>;ftsZ
Resistance to biological and organic chemicals;Methyl(α)methionine resistance;metA
Resistance to biological and organic chemicals;Methyl(α)methionine resistance;metD (metP)
Resistance to biological and organic chemicals;Methyl(α)methionine resistance;metK
Resistance to biological and organic chemicals;Methyl(6)purine resistance;apt
Resistance to biological and organic chemicals;Methyl(6)purine + hypoxanthine resistance;purA
Resistance to biological and organic chemicals;Methyl(<em>o</em>)threonine resistance;brnQ
Resistance to biological and organic chemicals;Methyl(4)tryptophan resistance in <em>aroP</em>;aroT
Resistance to biological and organic chemicals;Methyl(5)tryptophan resistance;mtr
Resistance to biological and organic chemicals;Methyl(5)tryptophan resistance;aroP
Resistance to biological and organic chemicals;Methyl(5)tryptophan resistance;trp (generic)
Resistance to biological and organic chemicals;Methyl(5)tryptophan resistance;trpE
Resistance to biological and organic chemicals;Methyl(5)tryptophan resistance;trpR
Resistance to biological and organic chemicals;Methyl(5)tryptophan + thienylalanine resistance;aroP
Resistance to biological and organic chemicals;Methyl viologen resistance;mvrA
Resistance to biological and organic chemicals;Methyl viologen resistance (multicopy);mvrC
Resistance to biological and organic chemicals;Methyl viologen resistance;gor
Resistance to biological and organic chemicals;Metronidazole resistance;nar (general)
Resistance to biological and organic chemicals;Microcin B17 resistance;sbmA
Resistance to biological and organic chemicals;Microcin E492 resistance;semA
Resistance to biological and organic chemicals;Mitomycin C resistance of <em>lexA</em>(Con);lexA
Resistance to biological and organic chemicals;Mocimycin resistance;tufA,B
Resistance to biological and organic chemicals;Nalidixic acid resistance;hisU
Resistance to biological and organic chemicals;Nalidixic acid resistance;icdE
Resistance to biological and organic chemicals;Nalidixic acid tolerance;sloB
Resistance to biological and organic chemicals;Nalidixic acid resistance;gyrA
Resistance to biological and organic chemicals;Nalidixic acid resistance;gyrB
Resistance to biological and organic chemicals;Nalidixic acid resistance;nalB
Resistance to biological and organic chemicals;Nalidixic acid resistance;nalD
Resistance to biological and organic chemicals;Nalidixic acid resistance;purB
Resistance to biological and organic chemicals;Nalidixic acid resistance due to gene dosage;emrB
Resistance to biological and organic chemicals;Neamine resistance;rpsL
Resistance to biological and organic chemicals;Neamine resistance;rpsQ
Resistance to biological and organic chemicals;Neamine resistance;neaB
Resistance to biological and organic chemicals;Negamycin resistance;prfB
Resistance to biological and organic chemicals;Neomycin resistance;atpA–atpE
Resistance to biological and organic chemicals;Neomycin resistance;ecfB
Resistance to biological and organic chemicals;Neomycin resistance;hemA
Resistance to biological and organic chemicals;Neomycin resistance;hemC
Resistance to biological and organic chemicals;Neomycin resistance;hemD
Resistance to biological and organic chemicals;Neomycin resistance;hemE
Resistance to biological and organic chemicals;Neomycin resistance;hemG
Resistance to biological and organic chemicals;Neomycin resistance;metC (ecfA)
Resistance to biological and organic chemicals;Neomycin resistance;topA
Resistance to biological and organic chemicals;Neomycin resistance;ubi (generic)
Resistance to biological and organic chemicals;Neutrophil granule protein resistance;pmrA
Resistance to biological and organic chemicals;Nitro(4)pyridine <em>N</em>-oxide resistance;proA
Resistance to biological and organic chemicals;Nitro(4)pyridine <em>N</em>-oxide resistance;proB
Resistance to biological and organic chemicals;Nitro(<em>o</em>)-phenyl galactoside resistance;lacZ
Resistance to biological and organic chemicals;Nitro(<em>o</em>)-phenylthiogalactoside resistance;lacY
Resistance to biological and organic chemicals;Nitro(<em>o</em>)-phenylthiogalactoside resistance in <em>lacI</em>(Con) or <em>lacO</em>(Con) ;lacI, operator
Resistance to biological and organic chemicals;Nitrofurantoin resistance;nfnA
Resistance to biological and organic chemicals;Nitrofurantoin resistance;nfnB
Resistance to biological and organic chemicals;Nitrofurantoin resistance in <em>lon</em>;sulA
Resistance to biological and organic chemicals;Nitrofurantoin resistance in <em>lon</em>;ftsZ
Resistance to biological and organic chemicals;Nitrofuranzone resistance;nfsA
Resistance to biological and organic chemicals;Nitrofuranzone resistance;nfsB
Resistance to biological and organic chemicals;Nitrosoguanidine resistance;ada
Resistance to biological and organic chemicals;Nitrosoguanidine resistance;gsh (generic)
Resistance to biological and organic chemicals;Norfloxacin resistance;hipQ
Resistance to biological and organic chemicals;Norleucine resistance;metJ
Resistance to biological and organic chemicals;Norleucine resistance;metK
Resistance to biological and organic chemicals;Norleucine resistance;nol
Resistance to biological and organic chemicals;Norleucylglycyl glycine resistance;oppA
Resistance to biological and organic chemicals;Novobiocin resistance;cysB
Resistance to biological and organic chemicals;Novobiocin resistance;cysE
Resistance to biological and organic chemicals;Novobiocin resistance;gyrB
Resistance to biological and organic chemicals;Novobiocin resistance;nov
Resistance to biological and organic chemicals;Novobiocin resistance;ompA
Resistance to biological and organic chemicals;Oxolinic acid resistance;gyrA
Resistance to biological and organic chemicals;Paromycin resistance or dependence;rpsL
Resistance to biological and organic chemicals;Pentachlorophenol resistance;atpA–atpE
Resistance to biological and organic chemicals;Penten(4)oate resistance in <em>atoC</em>(Con);atoC
Resistance to biological and organic chemicals;Pentylpantothenamide resistance;pan
Resistance to biological and organic chemicals;Peptide (toxic, valine containing) resistance;pepA
Resistance to biological and organic chemicals;Peptide (toxic, valine containing) resistance;pepD
Resistance to biological and organic chemicals;Peptide (toxic, valine containing) resistance;pepN
Resistance to biological and organic chemicals;Peptide (toxic, valine containing) resistance;pepQ
Resistance to biological and organic chemicals;Peroxide (organic) resistance;oxyR
Resistance to biological and organic chemicals;Phaseolotoxin resistance;oppA
Resistance to biological and organic chemicals;Phenethyl alcohol resistance;dnaB
Resistance to biological and organic chemicals;Phenethyl alcohol resistance;dnaP
Resistance to biological and organic chemicals;Phenethyl alcohol resistance;secA
Resistance to biological and organic chemicals;Phenethylyl galactoside resistance;lacY
Resistance to biological and organic chemicals;Phenethylyl galactoside resistance;lacZ
Resistance to biological and organic chemicals;Phenyl galactoside resistance of <em>lacP lacI</em>(nonsense) <em>supE</em>;hisT
Resistance to biological and organic chemicals;Phenyl galactoside resistance of <em>lacP lacI</em>(nonsense) <em>supE</em>;prfA
Resistance to biological and organic chemicals;Phenyl galactoside resistance of <em>lacP lacI</em>(nonsense) <em>supE</em>;rpsL
Resistance to biological and organic chemicals;Phenyl galactoside resistance of <em>lacI </em>q/<em>lacP lacI</em>(nonsense) <em>supL</em>;lysS
Resistance to biological and organic chemicals;Phenyl galactoside resistance of <em>lacI </em>q/<em>lacP lacI</em>(nonsense) <em>supL</em>;strM
Resistance to biological and organic chemicals;Phenyl galactoside resistance of <em>lacI </em>q/<em>lacP lacI</em>(nonsense) <em>supL</em>;trmE
Resistance to biological and organic chemicals;Phenyl galactoside resistance;lacY
Resistance to biological and organic chemicals;Phenyl galactoside resistance;lacZ
Resistance to biological and organic chemicals;Phenylalanylleucine resistance;ilvB
Resistance to biological and organic chemicals;Phenylalanylleucine resistance;ilvH
Resistance to biological and organic chemicals;Phenylalanylleucine resistance;ilvI
Resistance to biological and organic chemicals;Plasmid maintenance;polA
Resistance to biological and organic chemicals;Polymyxin resistance;pmrA
Resistance to biological and organic chemicals;Promethazine resistance;lon
Resistance to biological and organic chemicals;Pseudomonic acid resistance;ileS
Resistance to biological and organic chemicals;Psicofuranine resistance;guaAB
Resistance to biological and organic chemicals;Psoralen + UV irradiation resistance;puvA
Resistance to biological and organic chemicals;Pyrithiamine resistance;thi
Resistance to biological and organic chemicals;Quinaldic acid resistance of Tn<em>10</em> insertion mutants;tet
Resistance to biological and organic chemicals;Quinolone resistance;gyrA
Resistance to biological and organic chemicals;Ribitol resistance in <em>araC</em>(Con);araB
Resistance to biological and organic chemicals;Ribitol resistance in <em>araC</em>(Con);araC
Resistance to biological and organic chemicals;Rifampin + kasugamycin dependence;ridA
Resistance to biological and organic chemicals;Rifampin dependence;ridB
Resistance to biological and organic chemicals;Rifampin resistance;crp
Resistance to biological and organic chemicals;Rifampin resistance;cyaA
Resistance to biological and organic chemicals;Rifampin resistance;rpoB
Resistance to biological and organic chemicals;Rifampin resistance in <em>rpoB</em>+/<em>rpoB</em> (<em>rif</em>) diploids;rpoB
Resistance to biological and organic chemicals;Salicylate resistance;pan
Resistance to biological and organic chemicals;Serine (D) resistance;cycA
Resistance to biological and organic chemicals;Serine + methionine + glycine resistance in <em>relA</em>;glyA
Resistance to biological and organic chemicals;Serine hydroxamate resistance;serA
Resistance to biological and organic chemicals;Serine hydroxamate resistance;serS
Resistance to biological and organic chemicals;Serine resistance;sbaA
Resistance to biological and organic chemicals;Serine resistance;thrA
Resistance to biological and organic chemicals;Serine resistance in <em>relA</em>;crp
Resistance to biological and organic chemicals;Serine resistance in <em>relA</em>;cyaA
Resistance to biological and organic chemicals;Serine resistance in <em>relA</em>;relA
Resistance to biological and organic chemicals;Serine resistance in <em>relA</em>;rpoB
Resistance to biological and organic chemicals;Serine resistance in <em>relA</em>;rpoC
Resistance to biological and organic chemicals;Showdomycin resistance;nupC
Resistance to biological and organic chemicals;Showdomycin resistance;pnp
Resistance to biological and organic chemicals;Siderophore–beta-lactam conjugate resistance;cirA
Resistance to biological and organic chemicals;Sorbitol + xylitol resistance;srlA
Resistance to biological and organic chemicals;Sorbose (L) resistance;fruA
Resistance to biological and organic chemicals;Sorbose resistance;ptsG
Resistance to biological and organic chemicals;Spectinomycin resistance;rpsE
Resistance to biological and organic chemicals;Spectinomycin resistance;rrn
Resistance to biological and organic chemicals;Spectinomycin resistance;spcB
Resistance to biological and organic chemicals;Spectinomycin resistance and sucrose dependence;rpsC
Resistance to biological and organic chemicals;Spectinomycin resistance and sucrose dependence;rpsD
Resistance to biological and organic chemicals;Spectinomycin resistance and sucrose dependence;rpsE
Resistance to biological and organic chemicals;Streptolydigin resistance;rpoB
Resistance to biological and organic chemicals;Streptomycin + cAMP resistance;crp
Resistance to biological and organic chemicals;Streptomycin resistance;hem (generic)
Resistance to biological and organic chemicals;Streptomycin resistance;rpsL
Resistance to biological and organic chemicals;Streptomycin resistance;strB
Resistance to biological and organic chemicals;Streptomycin resistance;strC
Resistance to biological and organic chemicals;Streptomycin resistance;strM
Resistance to biological and organic chemicals;Streptomycin resistance;ubiF
Resistance to biological and organic chemicals;Streptomycin resistance;mut (generic)
Resistance to biological and organic chemicals;Streptomycin resistance;topA
Resistance to biological and organic chemicals;Streptovaricin resistance;rpoB
Resistance to biological and organic chemicals;Streptozotocin resistance;fba
Resistance to biological and organic chemicals;Streptozotocin resistance;galT
Resistance to biological and organic chemicals;Streptozotocin resistance;manA
Resistance to biological and organic chemicals;Streptozotocin resistance;nagA
Resistance to biological and organic chemicals;Streptozotocin resistance;nagE
Resistance to biological and organic chemicals;Streptozotocin resistance;pfkA
Resistance to biological and organic chemicals;Streptozotocin resistance;ptsI
Resistance to biological and organic chemicals;Streptozotocin resistance;glpD
Resistance to biological and organic chemicals;Sulfanilamide + hypoxanthine resistance;hpt
Resistance to biological and organic chemicals;Sulfanilamide + hypoxanthine resistance;pspABCDE
Resistance to biological and organic chemicals;Sulfanilamide resistance;folP
Resistance to biological and organic chemicals;Sulfanilamide resistance;gpt
Resistance to biological and organic chemicals;Sulfometuron methyl + valine resistance;ilv structural genes
Resistance to biological and organic chemicals;Sulfometuron methyl + valine resistance;ilvG
Resistance to biological and organic chemicals;Sulfonamide resistance;folA
Resistance to biological and organic chemicals;Sulfonamide resistance;pab
Resistance to biological and organic chemicals;Tartrate resistance;dct
Resistance to biological and organic chemicals;Tetracycline resistance;cmlA
Resistance to biological and organic chemicals;Tetracycline resistance;marA
Resistance to biological and organic chemicals;Tetracycline resistance;ompF
Resistance to biological and organic chemicals;Thiaisoleucine resistance;ileS
Resistance to biological and organic chemicals;Thiaisoleucine resistance;ilvU
Resistance to biological and organic chemicals;Thialysine resistance;thrA
Resistance to biological and organic chemicals;Thiazolealanine resistance;hisG
Resistance to biological and organic chemicals;Thiazolealanine resistance;hisR
Resistance to biological and organic chemicals;Thienylalanine resistance;aroP
Resistance to biological and organic chemicals;Thienylalanine resistance;aroG
Resistance to biological and organic chemicals;Thiodigalactoside resistance;lacY
Resistance to biological and organic chemicals;Thio(5)glucose resistance;crr
Resistance to biological and organic chemicals;Thiolactomycin resistance;emrB
Resistance to biological and organic chemicals;Thiolactomycin resistance (due to gene dosage);fadB
Resistance to biological and organic chemicals;Thiolactomycin resistance (due to gene dosage);emrB
Resistance to biological and organic chemicals;Thiolutin resistance;tlnA
Resistance to biological and organic chemicals;Thiomaltose resistance;lamB
Resistance to biological and organic chemicals;Thiomaltose resistance;malE
Resistance to biological and organic chemicals;Thiomaltose resistance;malF
