Genes for which selections exist in <i>E. coli</i> and <i>S. typhimurium</i>
Gene;Organism;Selection;References;Alteration
lacZ;E;Nitro(<i>o</i>)-phenyl galactoside resistance;376, 500;L
lamB;E;Lambda phage resistance;88, 134, 135, 253, 644, 766;L, S
lamB;E;K10 phage resistance;644
lamB;E;Thio(5)maltose resistance;223;L
lct;E;Vinylglycolate resistance;696
leuA;S;Trifluoroleucine resistance;115;FBI, S
leuJ;E;Trifluoroleucine resistance;575
leu(structural genes);S;Trifluoroleucine resistance;115, 116;C
leuS;S, E;Azaleucine resistance;477, 514;S
leuS;S;Trifluoroleucine resistance;7;S
leuW;E;Calmodulin inhibitor resistance;129;S
lev;E;Levallorphan resistance;164
lexA;E;Mitomycin C resistance of <i>recA</i> (SOS-induced) <i>sfi</i> <i>lexA3</i>(Con);538;L
lig;E;T4 phage <i>lig</i> mutant nibbling of colonies yielding <i>lig</i> overproducer;254;Q
lig;E;T4 phage <i>lig</i> mutant resistance from <i>lig</i> overproducer;254;L
linB;E;Lincomycin resistance;26, 343
lit;E;T4 mutant phage resistance;143
livG;E;Azaleucine resistance;303, 561;L
livH;E;Valine resistance in <i>leu</i>;17, 595;L
livH;E;Azaleucine resistance;561;L
livJ;E;Valine resistance in <i>leu</i>;17, 595;L
livK;E;Valine resistance in <i>leu</i>;17, 595;L
lon;E, S;Chlorpromazine resistance;198, 529;L
lon;E;Promethazine resistance;529;L
lpp;E;Globomycin resistance;140, 344, 854, 868;L
lpcA;E;T3 phage resistance;792;L
lpcA;E;T4 phage resistance;792;L
lpcA;E;T7 phage resistance;792;L
lpcA;E;P1 phage resistance;40, 41
lpcB;E;T4 phage resistance;760
lpcB;E;T7 phage resistance;760
lrp;E;Leucine (D) satisfaction of <i>leu</i> auxotrophs;18, 428
lysC;E;Aminoethylcysteine (thialysine) resistance;82, 765;S, FBI
lysC;E;Lysine hydroxamate resistance;82, 765;S, FBI
lysP;E;Aminoethylcysteine (thialysine) resistance;611, 736;L
lysS;E;Aminoethylcysteine (thialysine) resistance;323;S
lysS;E;Phenyl galactoside resistance of <i>lacI </i>q<i> lacI</i>(nonsense) lacP supL;748
lyt;E;Beta-lactam tolerance;700
mac;E;Erythromycin growth dependence;725
malE;E, S;Methylglucoside(α)-resistant utilization of maltose;665
malE;E;Thio(5)maltose resistance;223;L
malF;E, S;Methylglucoside(α)-resistant utilization of maltose;665
malF;E;Thio(5)maltose resistance;223;L
malG;E, S;Methylglucoside(α)-resistant utilization of maltose;665
malG;E;Thio(5)maltose resistance;223;L
malK;E;Lambda phage resistance;766;L
malK;E, S;Methylglucoside(α)-resistant utilization of maltose;177, 665
malK;E;Thio(5)maltose resistance;223;L
malP;E;Maltose as C source in <i>malT</i>;327
malQ;E;Maltose as C source in <i>malT</i>;327
malT;E;Lambda phage resistance;766;L
malT;E;Thiomaltose resistance;223;L
manA;E;Streptozotocin resistance;456
manC;E;Lyxose (D) as C source;738
manXYZ;E;Phage N4 resistance;410
manXYZ;E;Deoxyglucose resistance;158, 379;L
marA;E;Menadionine resistance;274
marA;E;Chloramphenicol resistance;286
marA;E;Tetracycline resistance;286, 329
mbrABCD;E;Camphor resistance;776, 777
mdoB;E;Arbutin resistance in <i>dgk</i>;360;L
mel (generic);E;Raffinose as C source in <i>lacI</i>;459
mel (generic);S;Methylglucoside(α)-resistant utilization of melibiose;665
melB;E;Deoxy(2)glucose-resistant utilization of melibiose;431;S
melB;E;Lithium-resistant utilization of melibiose;397;S
metA;S;Methyl(α)methionine resistance;127, 447;FBI, S
metC (<i>ecfA</i>?);E;Neomycin resistance;464
metC (<i>ecfA</i>?);E;Colicin K resistance;465
metC (<i>ecfA</i>?);E;Chloro(β)alanine resistance;832
metG;E;Ethionine resistance;28;S
metJ;E, S;Ethionine resistance;447
metJ;E;Glutamyl-γ-methyl ester resistance;425;S
metJ;E, S;Norleucine resistance;128
metJ;E;Methionine sulfoximine + methyl(α)methionine resistance;386;S
metK;E, S;Ethionine resistance;275, 289, 447, 735;S
metK;E;Glutamyl-γ-methyl ester resistance;425;S
metK;E, S;Norleucine resistance;128, 447, 735;S
metK;S;Methyl(α)methionine resistance;447, 735;S
metL;E;Hydroxy (β) norvaline resistance;138;S, FBI
metPD;E, S;Methyl(α)methionine resistance;37, 38, 386;L
metPD;E, S;Methionine sulfoximine resistance;37, 38, 386;L
mglA;E;Fucose + arabinose-supported growth in <i>galP</i>;209, 613
mglB;E;Fucose + arabinose-supported growth in <i>galP</i>;209, 613
mglC;E;Fucose + arabinose-supported growth in <i>galP</i>;209, 613
mglD;E;Methyl-β-galactoside-supported growth;645;C
mng;E;Manganese resistance;708
mopA;E;T4 phage resistance;258;S;(<i>groEL</i>)<i>mopA</i>;E;Lambda + 434 phage resistance;258;S;(<i>groEL</i>)
mopB;E;T4 phage resistance;258;S;(<i>groES</i>)<i>mopB</i>;E;Lambda + 434 phage resistance;258;S;(<i>groES</i>)
motAB;E;Chi phage resistance;349, 709, 710
mrb;E;Fosfomycin resistance;800
mrdA;E;Mecillinam resistance;759
mrdB;E;Mecillinam resistance;358, 502, 759
mreBCD;E;Mecillinam resistance;582, 807
mtlA;E;Arabinitol (D) resistance;614;L
mtlC;E;Mannitol (limiting) as C source;722;C
mtr;E;Methyl(5)tryptophan resistance;305, 320, 523;L
murZ;E;Fosfomycin resistance due to increased gene dosage;499;D
mut (generic);E;Streptomycin resistance;309
mut (generic);E;Azaserine resistance;703
mut (generic);E;Chemostat growth;152
mutH;E;Amino(2)purine resistance in <i>dam</i>;267;L
mutL;E;Amino(2)purine resistance in <i>dam</i>;267;L
mutS;E;Amino(2)purine resistance in <i>dam</i>;267;L
mvrC;E;Methyl viologen resistance;532;D
nadB;S;Amino(6)nicotinamide resistance;142, 336;S
nadD;S;Amino(6)nicotinamide resistance;336, 337;L
nagA;E;Streptozotocin resistance;456;L
nagA;E;Iodoacetylglucosamine resistance;823;L
nagB;E;Iodoacetylglucosamine resistance;823;L
nagE;E;Streptozotocin resistance;456;L
nagE;E;Iodoacetylglucosamine resistance;823;L
nagE;E;Deoxy(2)-2-iodoacetamideoglucose resistance;379;L
nalB;E;Nalidixic acid resistance;298
nalD;E;Nalidixic acid resistance;333
nar (general);E;Metronidazole resistance;677;L
narC;E;Chlorate resistance;266, 280;L
narG;E;Chlorate resistance;739;L
narH;E;Chlorate resistance;739;L
ndk;S;Aza(8)guanine resistance;264, 650
neaB;E, S;Neamine resistance;119, 182, 495
nek;E;Aminoglycoside resistance;27, 342
nfnA;E;Nitrofurantoin resistance;684
nfnB;E;Nitrofurantoin resistance;684
nfsA;E;Nitrofuranzone resistance;90, 505
nfsB;E;Nitrofuranzone resistance;90, 505
nhaA;E;Lithium resistance (multicopy);628;D
nol;S;Norleucine resistance;324
nov;E;Novobiocin resistance;630
nrdA;E;Hydroxyurea resistance;609;D
nrdB;E;Hydroxyurea resistance;609;D
nupC;E;Showdomycin resistance;415, 545;L
nupC;E;Fluorouracil resistance;544;L
nupC;E;Fluorodeoxyuridine resistance;545;L
nupC;E;Fluoruridine resistance;544;L
nupC;E;Fluorodeoxycytidine resistance;544;L
nupG;E;Fluorouracil resistance;544;L
nupG;E;Fluorodeoxyuridine resistance;545;L
nupG;E;Fluorouridine resistance;544;L
nupG;E;Fluorodeoxycytidine resistance;544;L
nusA;E;Lambda prophage induction, survival of;244
nusB;E;Lambda prophage induction, survival of;245, 260
nusB;E;Lambdoid phage resistance;260
nuvA;E, S;Near-UV irradiation resistance;424, 468, 767;L
nuvC;E;Near-UV irradiation resistance;663
ompA;E;K3 phage resistance;306, 489, 491, 493;L
ompA;E;T-even-like phage resistance;199, 533, 535;S
ompA;E;TuII* phage resistance;171, 314, 493;L
ompA;E;Ox2 phage resistance;199, 493, 642
ompA;E;Bacteriocin JF246 resistance;124, 491
ompA;S;Bacteriocin 4-59 resistance;741;L
ompA;E;Colicin K tolerance;491
ompA;E;Colicin L tolerance;491
ompA;E;Chelator resistance;493
ompA;E;Novobiocin resistance;493
ompB;S;PH51 phage resistance;372
ompB;S;PH105 phage resistance;372
ompC;E;Me1 phage resistance;791, 801;L
ompC;E;TuIa phage resistance;801;L
ompC;S;PH51 phage resistance;372;L
ompC;S;PH105 phage resistance;372;L
ompC;E;Host range <i>Serratia marcescens</i> phage resistance;702
ompD;S;PH51 phage resistance;741;L
ompD;S;Bacteriocin 4-59 resistance;741;L
ompF;E;Beta-lactam (ampicillin, cefoxitin) resistance;362, 363;L
ompF;E;Chloramphenicol resistance;235, 523;L
ompF;E;Tetracycline resistance;235, 523;L
ompF;E;Fluoro(5)uracil + nucleotide resistance;52;L
ompF;E;Colicin A tolerance;125, 235
ompF;E;Cloacin DF13 resistance;846;L
ompF;E;Colicin L tolerance;235, 291;L
ompF;E;Colicin K tolerance;235;L
ompF;E;Colicin E2 tolerance;235
ompF;E;Colicin E3 tolerance;235
ompF;E;Me1 phage resistance;801;L
ompF;E;TuIa phage resistance;801;L
ompF;E;TuIb phage resistance;237
ompF;S;PH51 phage resistance;372;L
ompF;S;PH105 phage resistance;372;L
ompF;E;Copper resistance in <i>ompC</i>;480
ompR;E;Me1 phage resistance;801
ompR;E;TuIa phage resistance;801
ompR;E;Copper resistance;52, 625
ompR;E;Beta-lactam (ampicillin, cefoxitin) resistance;362, 363;L
ompR;E;Chloramphenicol resistance;625
ompR;E;Fluoro(5)uracil + nucleotide resistance;52
oppA;E, S;Triornithine resistance;43, 317;L
oppA;E;Glycylleucine resistance;806;L
oppA;E;Alanyl-2-aminopropionate resistance;603;L
oppA;E, S;Trilysine resistance;317;L
oppA;E, S;Norleucylglycyl glycine resistance;317;L
oppA;S;Glycylglycyl histidinol phosphate ester resistance;317;L
oppA;E, S;Phaseolotoxin resistance;733;L
oppA;E;Tripeptide (toxic amino acid containing) resistance;604;L
oppA;E;Glycylglycyl-<i>N</i>-<i>S</i>-(phosphonoacetyl)-L-ornithine resistance;604;L
oppE;E;Tripeptide (toxic amino acid containing) resistance;22;L
optA;E;T7 phage gene 1.2 mutant resistance;666
osmB;E;Osmotolerance;384;L
osmZ;E;Arbutin as C source;179
osmZ;E;Salicin as C source;179
oxyR;E, S;Peroxide resistance;131;C
pab;E;Sulfonamide resistance;97;C
pan;E;Salicylate resistance;481;C
pan;E;Hydroxyaspartate resistance;701;C
pan;E;Pentylpantothenamide resistance;136;C
pdx;E;Isoniazid resistance;186;C
pepA;S;Alafosfalin resistance;263;L
pepA;E, S;Peptide (toxic, valine containing) resistance in <i>pepN</i>;517;L
pepD;E, S;Peptide (toxic, valine containing) resistance in <i>pepN</i> <i>pepA</i>;517;L
pepN;E, S;Albomycin resistance;86;L
pepN;E, S;Peptide (toxic, valine containing) resistance;517;L
pepN;E, S;Indicator plate;445
pepQ;E, S;Peptide (toxic, valine containing) resistance;517;L
pfkA;E;Streptozotocin resistance;456;L
pgi;E;U3 phage resistance;816;L
pgi;E;Fosfomycin + fructose-6-phosphate resistance;243;L
pgm;E;U3 phage resistance;816;L
pheA;E;Fluoro(4)phenylalanine resistance;351, 564;C, FBI
pheR;S;Fluoro(4)phenylalanine resistance;271;C
pheS;E;Fluoro(4)phenylalanine resistance;78, 218, 395;S
pheS;E;Thymineless death resistance in <i>thyA</i>;394;S
pheU;S;Fluoro(4)phenylalanine resistance;729
pho;S;Glycerol(β)-phosphate as C source in the presence of high phosphate;407;C
phoA;E;Fluoro(5)uracil + adenosine resistance in <i>upp, phoS,</i> or <i>phoT</i>;315
phoA;E;Glycerol(β)-phosphate as C source in the presence of high phosphate;773;C
phoA;E;Glycerol(β)-phosphate resistance in <i>glpD</i>;678
phoB;E;Tellurite resistance;770
phoB;E;TC45 phage resistance;771;L
phoB;E;Fluoro(5)uracil + adenosine resistance in <i>upp, phoS,</i> or <i>phoT</i>;316
phoE;E;Acid resistance;659;D
phoE;E;TC45 phage resistance;420, 771;S, L
phoR;E;Arsenate resistance;852
phoR;E;Glycerol(β)-phosphate as C source in the presence of high phosphate;204, 838
phoR;E;TC45 phage resistance;621;S
phoS;E;Arsenate resistance;852
phoS;E;Glycerol(β)-phosphate as C source in the presence of high phosphate;204, 838
phoS;E;TC45 phage resistance;621;S
phoT;E;Arsenate resistance;852
phoT;E;Glycerol(β)-phosphate as C source in the presence of high phosphate;204, 838
phoT;E;TC45 phage resistance;621;S
phr;E;T1 phage (UV irradiated) resistance;332;L
phxB;E;φX174 phage resistance;547;L
pit;E;Arsenate resistance;59, 727;L
pldA;E;Actinomycin D resistance in the presence of EDTA;301, 805;L
pmi;S;P22 phage resistance;656, 833;L
pmi;S;9NA phage resistance;656, 833;L
pmrA;E, S;Polymyxin resistance;219, 297, 485, 785-788
pmrA;S;Neutrophil granule protein resistance;219
pncA;E, S;Amino(6)nicotinamide resistance;234, 455, 822;L
pncA;E;Nicotinamide as sole N source;598;Q
pncB;E, S;Amino(6)nicotinamide resistance;234, 455;L
pncB;E, S;Amino(6)nicotinate resistance;234, 455;L
pncX;S;Amino(6)nicotinamide resistance;336
pnp;E;Showdomycin resistance;58
polA;E;Lambda γ mutant phage resistance;867;L
<i>praA,B</i>;S;P221 phage resistance;576, 674;L
<i>praA,B</i>;S;PH51 phage resistance;576;L
<i>praA,B</i>;S;PH105 phage resistance;576;L
<i>prbA,B</i>;S;ES18 phage resistance;674
prdB;S;PH51 phage resistance;674
prfA;E;Phenylgalactoside resistance of <i>lacP lacI</i>(nonsense) <i>supE</i>;747
prfB;E;Negamycin resistance;145
prh;S;HK009 phage resistance;674
prk;S;HK068 phage resistance;674
proAB;S;Osmotolerance;155
proA;E;Nitro(4)pyridine <i>N</i>-oxide resistance;62, 222, 321;L
proB;E, S;Dehydroproline resistance;62, 155, 635;FBI, S
proB;E;Nitro(4)pyridine <i>N</i>-oxide resistance;62, 222, 321
proB;E, S;Azetidine carboxylate resistance;62, 155, 635;FBI, S
proP;E, S;Dehydroproline resistance in <i>putA putP</i>;156, 732;L
proU;S;Dehydroproline + azetidine carboxylate resistance at high osmolarity in <i>putA putP</i>;156;L
prp;E;Propionate as C source;400;Q
pspABCDE;E;Sulfanilamide + hypoxanthine resistance;97
pss;E;Ethanol resistance;133
pss;E;Dimethyl sulfoxide resistance;133
pstABCS;E;Arsenate resistance;727, 838;L
pstABCS;E;TC45 phage resistance;621;S
pta;S;Fluoroacetate resistance;96, 281, 463, 797
pts (general);E;Glucose + gluconate-independent motility;30
ptsG;E;Methyl(α)-glucoside resistance;102, 104
ptsG;E;Sorbose resistance;715;L
ptsG;E, S;Deoxy(2)glucose-independent utilization of fructose;418, 510;L
ptsG;E, S;Deoxy(3)-3-fluoroglucose-independent utilization of fructose;418, 510;L
ptsG;E;Methyl(α)-glucoside-independent lactose + mannitol utilization;80;L
ptsG;E;Glucosamine as C source;379
ptsG;E;Mannose as C source;379
ptsHI;E, S;Deoxy(3)-3-fluoroglucose-independent utilization of lactate;510;L
ptsHI;E, S;Fosfomycin resistance;146, 800;L
ptsHI;E;Streptozotocin resistance;16,873;L
ptsI;E;Ampicillin resistance;212
ptsI;S;Deoxy(3)-3-fluoroglucose resistance;510;L
purA;E;Methyl(6)purine + hypoxanthine resistance;60
purB;E;Nalidixic acid resistance;310;L
purR;E;Adenine resistance in <i>hpt gpt</i>;461, 462
putA;E, S;Azetidine carboxylic acid resistance;511, 635, 775;L
putAP;S;Baikiain resistance in constitutive background;187;L
putA;S;Proline as N source with glucose as C source;566
putP;E, S;Dehydroproline resistance;193, 511, 635, 732, 775, 843;L
putP;E, S;Azetidine carboxylic acid resistance;193, 511, 635, 775, 843;L
putP;S;Lithium-resistant proline utilization as C source;551;S
puvA;E;Psoralen + UV irradiation resistance;328;C
pyrB;S;Arginine-independent growth of <i>pyrH</i> in the presence of uracil;366;L
pyrC;S;Arginine-independent growth of <i>pyrH</i> in the presence of uracil;366;L
pyrD;S;Arginine-independent growth of <i>pyrH</i> in the presence of uracil;366;L
pyrF;E;Fluoro(5)orotic acid resistance;74;L
pyrH;S;Fluoro(5)orotic acid resistance;865;C
pyrH;S;Fluorouracil resistance;385;C
pyrH;S;Fluorouridine resistance;385;C
pyrH;E;Fluoro(5)uracil + 5-fluorouridine resistance in <i>udp</i>;606
qmeACDE;E;Glycine tolerance;829
rap;E;Lambda phage resistance;279
recA;E;Lambda prophage induction deficiency during thymine deprivation;190
recF;E;Thymineless death resistance in <i>thyA</i>;558
recJ;E;Thymineless death resistance in <i>thyA</i>;558
recO;E;Thymineless death resistance in <i>thyA</i>;558
recQ;E;Thymineless death resistance in <i>thyA</i>;557
relA;E;UV (near) irradiation resistance;632;L
relA;E;Serine resistance in <i>relA</i>;167
rep;E;P2 phage resistance;113
rfa (general);E, S;U3 and FO phage resistance;35, 484, 486, 588, 833
rfa (general);E, S;Ampicillin resistance;212, 550, 562
rfa (general);S;Hemin satisfaction of <i>hemA</i> auxotrophy;364
rfa (general);S;Cephalothin resistance;562
rfa (general);S;Bacitracin resistance;562
rfaCDEF;S;FO phage resistance;676
rfaD;E;C21 phage resistance;141
rfaD;E;P1 phage resistance;141
rfaH;S;FO phage resistance;458, 675
rfaP;E;U3 phage + K3 phage coresistance;601
rfb;S;DCCD resistance in <i>rfa</i>;833
rho;E;T4 phage resistance;740
rho;E;Lambda <i>sus N7 nin-5</i> resistance in P2 lysogen;352, 353
rho;E, S;Polarity suppression of <i>gal</i> leader insertion;169, 331
ridA;E;Rifampin + kasugamycin dependence;162
ridB;E;Rifampin dependence;160
rplC;E;Tiamulin resistance;73
rplD;E;Erythromycin resistance;725, 840;S
rplE;E;Thiopeptin resistance;467
rplF;E;Gentamicin resistance;101;S
rplK;E;Kasugamycin resistance;159
rplK;E;DAP starvation of ∆(<i>mal-asd</i>) in the presence of serine, methionine, and glycine;165
rplN;E;Kasugamycin resistance;159
rplN;E;Lincomycin resistance;343
rplO;E;Lincomycin resistance;343
rplV;E;Erythromycin resistance;840
rpoA;E;P2 <i>vir1</i> phage resistance;754;S
rpoB;E;Lambda <i>c</i>II + rifampin coresistance;296;S
rpoB;E;Streptovaricin resistance;863;S
rpoB;E;Rifampin resistance;216, 359, 369;S
rpoB;E;Streptolydigin resistance;357, 469, 688;S
rpoB;S;Fluorouracil resistance;368;S
rpoB;E;Lambda phage + 434 phage cross-resistance;256;S
rpoB;E;Lambda <i>Nmar </i>mutant phage resistance;261;S
rpoB;E;Serine resistance in <i>relA</i>;784;S
rpoB;E;Rifampin resistance in <i>rpoB</i>+/<i>rpoB</i> (<i>rif</i>) merodiploids;36;L
rpoB;E;T7 phage resistance;690;S
rpoC;E;T7 phage gene 2 resistance;100
rpoD;E;Lambda <i>c</i>I71 resistance;556
rpoD;E;Arabinose (L) as C source in <i>cya</i> or <i>crp</i>;712;S
rpoH;E;Temperature resistance in <i>rpoD</i>(Ts);577;S
rpsB;E;Kasugamycin resistance;583, 861;S
rpsB;E;Cold resistance in <i>rpsE</i> cold-sensitive mutants;559
rpsC;E;Spectinomycin resistance and sucrose dependence;195;S
rpsD;E;Spectinomycin resistance and sucrose dependence;195;S
rpsD;E;Streptomycin independence of streptomycin-dependent <i>rpsL</i>;304
rpsE;E;Spectinomycin resistance and sucrose dependence;195, 526;S
rpsE;E, S;Spectinomycin resistance;172, 495, 634, 672, 853;S
rpsE;E;Streptomycin independence of streptomycin-dependent <i>rpsL</i>;304
rpsG;E;Lincomycin resistance;343;S
rpsI;E;Kasugamycin resistance and dependence;161, 163;S
rpsJ;E;Lambda prophage induction, resistance to;170, 246;S
rpsL;E, S;Streptomycin resistance;89, 495, 853;S
rpsL;E;Neamine dependence;798
rpsL;E;Paromomycin resistance or dependence;853;S
rpsL;E;Phenyl galactoside resistance of <i>lacP lacI</i> (nonsense) <i>supE</i>;747
rpsM;E;Kasugamycin resistance;159
rpsQ;E;Neamine resistance;76, 119;S
rpsR;E;Kasugamycin resistance;159
rrn;E;Erythromycin resistance;704;S
rrn;E;Chloramphenicol resistance;704;S
rrn;E;Spectinomycin resistance;704;S
sbaA;E;Serine resistance;166
sbmA;E;Microcin B17 resistance;446
sdh;E;Succinate-independent growth in <i>lpd</i>;154
secA;E, S;Azide resistance;227, 232, 584, 808, 864
secA;E;Phenethyl alcohol resistance;808, 864
semA;E;Microcin E492 resistance;622
serA;E;Serine hydroxamate resistance;774;FBI, S
serS;E;Serine hydroxamate resistance;774;S
sidCF;S;Albomycin resistance;87, 478, 479, 674
sidK;S;Albomycin resistance;87, 478, 479, 674
sidK;S;ES18 phage resistance;87, 478, 479, 674
sloB;E;Nalidixic acid tolerance;473
sloB;E;Amidinopenicillin tolerance;473
sorAT;E;Sorbose (L) as C source in crosses with wild strains;844
spcB;S;Spectinomycin resistance;853
srlA;E;Sorbitol + xylitol resistance;639;L
srlD;E;Fructose as C source in <i>ptsF</i> or <i>ptsM</i>;378
sspA;E;P1 phage resistance;835;L
strB;S;Streptomycin resistance;273, 853
strC;S;Streptomycin resistance;648
strM;E;Streptomycin resistance;671
strM;E;Phenyl galactoside resistance of <i>lacI</i>q <i>lacI</i>(nonsense) <i>lacP supL</i>;748
sulA;E;UV irradiation resistance in <i>lon</i>;373;L
sulA;E;Methyl methanesulfonate resistance in <i>lon</i>;373;L
sulA;E;Nitrofurantoin resistance in <i>lon</i>;252;L
tabC;E;T4 phage resistance;258
tct;S;Fluorocitrate resistance;724;L
tct;S;Trifluorocitrate resistance;723;L
tct;S;2-Fluoro-L-erythrocitrate resistance;32;L
tdk;E, S;Azidothymidine resistance;207;L
tdk;S;Fluorodeoxyuridine + uracil resistance in <i>deoA</i>;54
tdk;E;Fluoro(5)deoxyuridine resistance;749;L
tdk;E;Bromo(5)deoxyuridine + UV irradiation resistance;319, 348;L
tet;E, S;Fusaric acid resistance;72, 487;L
tet;S;Quinaldic acid resistance;72;L
thdA;E;Dapsone resistance;383
thi;E;Pyrithiamine resistance;399;C
thrA;E, S;Thialysine resistance;365;S, FBI
thrA;E;Serine resistance;294;S, FBI
thrABC;E;Amino(2)-hydroxy(3)-pentoate resistance;847;D
thrS;E;Borrelidin resistance;248, 276, 560, 596;S, Q
thyA;E, S;Aminopterin resistance;66, 123, 325, 730;L
thyA;E;Trimethoprim resistance;66, 730;L
tinA (<i>tlr</i>);E, S;Thiolutin resistance;381, 382, 714
tmk;E;Dideoxy(2′,3′)thymidine resistance;176;S
tnaA;E;Tryptophan-supported growth at 13°C;568;C
tna;E;Indole + methyl(5)tryptophan-supported, glucose-resistant growth in ∆<i>trp</i>;862
tol;E;Bacteriocin tolerance;85, 120, 173, 236
tolQAB;E;Colicin E1 resistance;449
tolQAB;E;TuIa phage resistance;449
tolB;E;Colicin E resistance;19;L
tolB;E;Azaleucine resistance;19;L
tolC;E;Colicin E1 tolerance;536, 653;L
tolD;E;Colicin E2 and E3 tolerance;210
tolD;E;Ampicillin resistance;105, 210
tolE;E;Colicin E2 and E3 tolerance;210, 211
tolE;E;Ampicillin resistance;210, 211
tolI;E;Colicin Ia and Ib tolerance;120
tolJ;E;Colicin L, A, and S4 tolerance;173
tolM;E;Colicin M tolerance;302
tolQ;E;Colicin group A tolerance;84a, 750
tolQ;E;Filamentous phage tolerance;84a, 750
tolR;E;Colicin group A tolerance;84a, 750
tolR;E;Filamentous phage tolerance;84a, 750, 751
tolZ;E;Colicin E2, E3, D, 1a, and 1b tolerance;503
tonB;S;ES18 phage resistance;149, 741
tonB;E;T1 phage resistance;46
tonB;E;φ80 phage resistance;46
tonB;E;Colicin B resistance;46, 623
tonB;E, S;Albomycin resistance;85, 505, 741
tonB;E;Colicin M resistance;85, 523
tonB;S;Bacteriocin 4-59 resistance;741
tonB;E;Cephalosporin E-0702 resistance;815
topA;S;Kanamycin resistance;202
topA;S;Neomycin resistance;202
topA;S;Streptomycin resistance;202
tpp;E;Alafosfalin resistance;603;L
tpp;E;Triornithine resistance in <i>opp</i>;44;L
tppA;S;Tripeptide (toxic) resistance;263
tppB;S;Tripeptide (toxic) resistance;263
trmE?;E;Phenyl galactoside resistance of <i>lacl</i>q <i>lacI</i>(nonsense) <i>lacP supL</i>;748
trp (generic);E, S;Fluoro(6)tryptophan resistance;42, 318;C
trp (generic);E, S;Methyl(5)tryptophan resistance;42, 318;C
trpE;E, S;Methyl(5)tryptophan resistance;114, 539;S, FBI
trpE;E;Methyl(3)anthranilate resistance;308;S, FBI
trpR;E, S;Methyl(5)tryptophan resistance;42, 137, 523, 746
trpR;E;Chuangxinmycin resistance;850
trpS;E;Indolmycin resistance;75;D
trxA;E;T7 phage resistance;498;L
trzA;S;Triazole resistance;339
tsx;E;T6 phage resistance;99, 299, 490, 492, 620;L, S
tsx;E;Colicin K resistance;99, 299, 490, 492, 620;L, S
tsx;E;Albicidin resistance;69
tufAB;E;Kirromycin resistance;220, 356, 763, 795
tufAB;E, S;Mocimycin resistance;335, 794
tyn;S;Tyramine as N source;549
tyrA;E, S;Fluorophenylalanine resistance;270, 729;C
tyrA;E;Amino(4)phenylalanine resistance;504;C
tyrR;E, S;Amino(4)phenylalanine resistance;95, 504, 811
tyrR;E;Fluorotyrosine resistance;130
tyrR;S;Fluoro(4)phenylalanine resistance;729
tyrS;E;Fluorotyrosine resistance;662;S
ubi (generic);E;Neomycin resistance;265;L
ubiF;S;Fluoro(5)uracil + carbamylaspartate resistance;404, 866;L
ubiF;E;Gentamicin resistance;542
ubiF;E;Streptomycin resistance;542
udhA;S;Fluoro(5)uridine resistance;834;L
udk;E;Fluoro(5)uridine + uracil resistance;380;L
udk;E;Fluoro(5)uridine resistance in <i>upp</i>;565;L
udp;E;Fluoro(5)uracil + adenosine resistance;606, 617;L
ugpAB;E;Fluorohydroxyacetone phosphate resistance;515;L
ugpAB;E;Dihydroxybutylphosphonate resistance in <i>glpT</i>;691, 692;L
ugpAB;E;Glycerol-3-phosphate as C source in <i>glpT</i>;691;C
uhpR;E;Glucosamine 6-phosphate as C source;191;C
uhpR;S;Glucose 1-phosphate as C source;192;C
uhpR;E;Fructose 1-phosphate as C source;224;C
uhpT;E;Chloro-3-hydroxyacetone resistance in <i>uhp</i>(Con);515;L
uhpT;E;Fluoro-3-hydroxyacetone resistance in <i>uhp</i>(Con);515;L
uhpT;E;Dihydroxybutylphosphonate resistance in <i>uhp</i>(Con);285;L
uhpT;E;Hydroxybutylphosphonate resistance in <i>ubp</i>(Con);285;L
uhpT;E;Deoxydihydroxyphosphonyl methyl fructose resistance;285;L
uhpT;E;L-Glyceraldehyde-3-phosphate resistance in <i>uhp</i>(Con);285;L
uhpT;E;Fosfomycin resistance;230, 389, 800;L
uhpT;E;Deoxy(2)glucose-6-phosphate resistance;214;L
uidA;E;Galacturonide as C source;742;C
uidA;E;Methylgalacturonide as C source;573;C
uidA;E;Methylglucuronide + glycerol-supported growth in <i>eda</i>;572;L
uidR;E;Galacturonide as C source;742;C
uidR;E;Methylgalacturonide as C source;573;C
ung;E;Bromodeoxyuridine + UV light resistance;856;L
ung;E;T4 phage (uracil containing) resistance;203;L
upp;E, S;Fluoro(5)uracil resistance;53, 605, 617;L
upp;E;Aza(6)uracil resistance;605, 617;L
upp;E;Canavanine + aza(6)uracil resistance;605, 617;L
ushA;E;Fluoro(5)uracil + 5′-AMP resistance in <i>upp</i>;52;L
uvrA;E;UV-irradiated lytic phage resistance;332
uvrB;E;UV-irradiated lytic phage resistance;332
uvrC;E;UV-irradiated lytic phage resistance;332
uvrD;E;UV-irradiated lytic phage resistance;332
uxaBC;E;Hexuronate resistance in <i>eda</i>;742;L
uxuAB;E;Hexuronate resistance in <i>eda</i>;742;L
uxuR;E;Methylgalacturonide as C source;574;C
valS;E;Thymineless death resistance in <i>thyA</i>;394;S
xapA;E;Fluoro(5)uracil + adenosine resistance in <i>upp deoD xapR(Con)</i>;111;L
